Titel,Künstler,Anzahl
Wellerman,Nathan Evans,4
Durch den Monsun,Tokio Hotel,3
Ketchup Song,Las Ketchup,3
It's my Life,Bon Jovi,3
Mief,Die Doofen,3
Das Lied der Schlümpfe,Vader Abraham,3
Gangstas Paradise,Coolio feat.L.V.,2
Eye of the Tiger,Survivor,2
Beinhart,Torfrock,2
Nordisch by Nature,Fettes Brot,2
Barbie Girl,Aqua,2
Waka Waka,Shakira,2
Dance Monkey,Tones and I,2
"Non, Je ne regrette rien",Edith Piaf,2
Goldeneye,Tina Turner,2
Holz,257er,2
Schrei nach Liebe,Die Ärzte,2
Wish I had an Angel,Nightwish,2
APT,Rosé & Bruno Mars,2
Mah na mah ne (Sesamstraße),Jim Henson,2
Ironic,Alanis Morissette,2
They dont care about us,Michael Jackson,2
Macarena,Los del Rio,2
Viva Colonia,Die Höhner,2
Toxicity,System of a Down,2
Lose yourself,Eminem,2
Let's get loud,Jennifer Lopez,2
Diggy Diggy Hole,Windrose,2
Crucified,Army of Lovers,2
Bohemian Rapsody,Queen,2
Yesterday,The Beatles,2
Running with the Wolves,Aurora,2
Over the Hills and far away,Nightwish,2
Yindy,Fiddler’s Green,2
Feel Good Inc,Gorillaz,2
Down Under,Men At Work,2
Wake the White Wolf,Miracle of Sound,2
Alt wie ein Baum,Pudhys,2
The Sound of Silence,Simon & Garfunkel,2
Hit the Road Jack,Ray Charles,2
"Take Me Home, Country Roads",John Denver,2
Chop Suey!,System of a Down,2
Nothing Else Matters,Metallica,2
Bodies,Drowning Pool,2
Lemon Tree,Fools Garden,2
Breaking the Law,Judas Priest,2
Wannabe,Spice Girls,2
All The Things She Said,t.A.T.u,2
Wackelkontakt,Oimara,2
